Period,Date,Match_Number,Home_Team,Away_Team,Score,Result
24167,2024-10-28,1,切尔西,纽卡斯,2:1,3
24167,2024-10-28,2,水晶宫,热刺,1:0,3
24167,2024-10-28,3,西汉姆,曼联,2:1,3
24167,2024-10-28,4,阿森纳,利物浦,2:2,1
24167,2024-10-28,5,波鸿,拜仁,0:5,0
24167,2024-10-28,6,柏林联,法兰克,1:1,1
24167,2024-10-28,7,拉齐奥,热那亚,3:0,3
24167,2024-10-28,8,国米,尤文,4:4,1
24167,2024-10-28,9,佛罗伦,罗马,5:1,3
24167,2024-10-28,10,赫塔费,巴伦西,1:1,1
24167,2024-10-28,11,贝蒂斯,马竞技,1:0,3
24167,2024-10-28,12,社会,奥萨苏,0:2,0
24167,2024-10-28,13,里昂,欧塞尔,2:2,1
24167,2024-10-28,14,马赛,日尔曼,0:3,0
