period,sale_status,deadline_time,sale_time,match_num,league,start_time,home_team,away_team,home_goals_0,away_goals_0,home_goals_1,away_goals_1,home_goals_2,away_goals_2,home_goals_3+,away_goals_3+
24216期,在售奖期,2024-11-01 22:00:00,,1,德甲,2024-11-02,勒 沃,斯图加,0,0,1,1,2,2,3+,3+
24216期,在售奖期,2024-11-01 22:00:00,,2,西甲,2024-11-02,阿拉维,马洛卡,0,0,1,1,2,2,3+,3+
24216期,在售奖期,2024-11-01 22:00:00,,3,法甲,2024-11-02,摩纳哥,昂 热,0,0,1,1,2,2,3+,3+
24216期,在售奖期,2024-11-01 22:00:00,,4,法甲,2024-11-02,里 尔,里 昂,0,0,1,1,2,2,3+,3+
24217期,在售奖期,2024-11-02 22:00:00,,1,英超,2024-11-02,利物浦,布赖顿,0,0,1,1,2,2,3+,3+
24217期,在售奖期,2024-11-02 22:00:00,,2,英超,2024-11-03,狼 队,水晶宫,0,0,1,1,2,2,3+,3+
24217期,在售奖期,2024-11-02 22:00:00,,3,德甲,2024-11-02,拜 仁,柏林联,0,0,1,1,2,2,3+,3+
24217期,在售奖期,2024-11-02 22:00:00,,4,德甲,2024-11-03,多 特,莱比锡,0,0,1,1,2,2,3+,3+
24218期,在售奖期,2024-11-03 21:30:00,,1,英超,2024-11-03,热 刺,维 拉,0,0,1,1,2,2,3+,3+
24218期,在售奖期,2024-11-03 21:30:00,,2,英超,2024-11-04,曼 联,切尔西,0,0,1,1,2,2,3+,3+
24218期,在售奖期,2024-11-03 21:30:00,,3,西甲,2024-11-03,巴 萨,西班人,0,0,1,1,2,2,3+,3+
24218期,在售奖期,2024-11-03 21:30:00,,4,西甲,2024-11-04,塞维利,社 会,0,0,1,1,2,2,3+,3+
24219期,在售奖期,2024-11-04 22:00:00,,1,英超,2024-11-05,富勒姆,布伦特,0,0,1,1,2,2,3+,3+
24219期,在售奖期,2024-11-04 22:00:00,,2,意甲,2024-11-05,帕尔马,热那亚,0,0,1,1,2,2,3+,3+
24219期,在售奖期,2024-11-04 22:00:00,,3,意甲,2024-11-05,拉齐奥,卡利亚,0,0,1,1,2,2,3+,3+
24219期,在售奖期,2024-11-04 22:00:00,,4,西甲,2024-11-05,塞尔塔,赫塔费,0,0,1,1,2,2,3+,3+
24220期,即将开售,,2024-11-03 20:00:00,1,欧冠,2024-11-06,里 尔,尤 文,0,0,1,1,2,2,3+,3+
24220期,即将开售,,2024-11-03 20:00:00,2,欧冠,2024-11-06,利物浦,勒 沃,0,0,1,1,2,2,3+,3+
24220期,即将开售,,2024-11-03 20:00:00,3,欧冠,2024-11-06,皇 马,AC米兰,0,0,1,1,2,2,3+,3+
24220期,即将开售,,2024-11-03 20:00:00,4,欧冠,2024-11-06,里斯本,曼 城,0,0,1,1,2,2,3+,3+
24221期,即将开售,,2024-11-03 20:00:00,1,欧冠,2024-11-07,拜 仁,本菲卡,0,0,1,1,2,2,3+,3+
24221期,即将开售,,2024-11-03 20:00:00,2,欧冠,2024-11-07,红 星,巴 萨,0,0,1,1,2,2,3+,3+
24221期,即将开售,,2024-11-03 20:00:00,3,欧冠,2024-11-07,国 米,阿森纳,0,0,1,1,2,2,3+,3+
24221期,即将开售,,2024-11-03 20:00:00,4,欧冠,2024-11-07,日尔曼,马竞技,0,0,1,1,2,2,3+,3+
24222期,即将开售,,2024-11-03 20:00:00,1,欧罗巴,2024-11-08,加拉塔,热 刺,0,0,1,1,2,2,3+,3+
24222期,即将开售,,2024-11-03 20:00:00,2,欧罗巴,2024-11-08,阿尔克,费内巴,0,0,1,1,2,2,3+,3+
24222期,即将开售,,2024-11-03 20:00:00,3,欧罗巴,2024-11-08,拉齐奥,波尔图,0,0,1,1,2,2,3+,3+
24222期,即将开售,,2024-11-03 20:00:00,4,欧罗巴,2024-11-08,曼 联,塞萨洛,0,0,1,1,2,2,3+,3+
